Product Name,License Type,Product Line (PL),Product Family,Unit of Measure,List Price (USD),PRP Number,Status,Price List
BMC Helix Business Workflows on AWS (DoD Impact Level 4) - Active User (100 Users),SaaS,ITSM,ITSM SaaS,per active user - SaaS ,1446.12,PRP-00004307,Generally Available,USA List Prices 
BMC Helix Business Workflows on AWS (DoD Impact Level 4) - Additional Line of Business - Active User (100 Users),SaaS,ITSM,ITSM SaaS,per active user - SaaS ,482.04,PRP-00000136,Generally Available,USA List Prices 
BMC Helix Business Workflows on AWS (DoD Impact Level 4) - Additional Line of Business - Named User (100 Users),SaaS,ITSM,ITSM SaaS,per named user - SaaS ,241.02,PRP-00004126,Generally Available,USA List Prices 
BMC Helix Business Workflows on AWS (DoD Impact Level 4) - Named User (100 Users),SaaS,ITSM,ITSM SaaS,per named user - SaaS ,867.68,PRP-00000983,Generally Available,USA List Prices 
BMC Helix Business Workflows on AWS (DoD Impact Level 5) - Active User (100 Users),SaaS,ITSM,ITSM SaaS,per active user - SaaS ,1735.35,PRP-00004305,Generally Available,USA List Prices 
BMC Helix Business Workflows on AWS (DoD Impact Level 5) - Additional Line of Business - Active User (100 Users),SaaS,ITSM,ITSM SaaS,per active user - SaaS ,578.44,PRP-00000137,Generally Available,USA List Prices 
BMC Helix Business Workflows on AWS (DoD Impact Level 5) - Additional Line of Business - Named User (100 Users),SaaS,ITSM,ITSM SaaS,per named user - SaaS ,288.06,PRP-00004127,Generally Available,USA List Prices 
BMC Helix Business Workflows on AWS (DoD Impact Level 5) - Named User (100 Users),SaaS,ITSM,ITSM SaaS,per named user - SaaS ,1041.21,PRP-00000976,Generally Available,USA List Prices 
BMC Helix Business Workflows on AWS (FedRAMP) - Active User (100 Users),SaaS,ITSM,ITSM SaaS,per active user - SaaS ,1205.1,PRP-00004310,Generally Available,USA List Prices 
BMC Helix Business Workflows on AWS (FedRAMP) - Additional Line of Business - Named User (100 Users),SaaS,ITSM,ITSM SaaS,per named user - SaaS ,200.85,PRP-00004128,Generally Available,USA List Prices 
BMC Helix Business Workflows on AWS (FedRAMP) - Named User (100 Users),SaaS,ITSM,ITSM SaaS,per named user - SaaS ,723.06,PRP-00000978,Generally Available,USA List Prices 
BMC Helix Business Workflows on AWS(FedRAMP) - Additional Line of Business - Active User(100 Users),SaaS,ITSM,ITSM SaaS,per active user - SaaS ,401.7,PRP-00000139,Generally Available,USA List Prices 
BMC Helix Business Workflows OnPrem - Active User (100 Users),OPS,ITSM,ITSM On Prem,per active user ,492.28,PRP-00006984,Withdrawn,USA List Prices 
BMC Helix Business Workflows OnPrem - Active User (100 Users),Perpetual,ITSM,ITSM On Prem,per active user ,13127,PRP-00006985,Withdrawn,USA List Prices 
BMC Helix Business Workflows OnPrem - Additional Line of Business - Active User (100 Users),OPS,ITSM,ITSM On Prem,per active user ,164.08,PRP-00006851,Withdrawn,USA List Prices 
BMC Helix Business Workflows OnPrem - Additional Line of Business - Active User (100 Users),Perpetual,ITSM,ITSM On Prem,per active user ,4375,PRP-00006853,Withdrawn,USA List Prices 
BMC Helix Business Workflows OnPrem - Additional Line of Business - Named Users (100 Users),OPS,ITSM,ITSM On Prem,per named user ,82.7,PRP-00006836,Withdrawn,USA List Prices 
BMC Helix Business Workflows OnPrem - Additional Line of Business - Named Users (100 Users),Perpetual,ITSM,ITSM On Prem,per named user ,2205,PRP-00006837,Withdrawn,USA List Prices 
BMC Helix Business Workflows OnPrem - Named User (100 Users),OPS,ITSM,ITSM On Prem,per named user ,295.37,PRP-00006937,Withdrawn,USA List Prices 
BMC Helix Business Workflows OnPrem - Named User (100 Users),Perpetual,ITSM,ITSM On Prem,per named user ,7876,PRP-00006939,Withdrawn,USA List Prices 
BMC Helix Client Management,SaaS,ITOM,ITOM SaaS,per node - SaaS ,0,PRP-00006179,Generally Available,USA List Prices 
BMC Helix Client Management (Public Sector),SaaS,ITOM,ITOM SaaS,per node - SaaS ,0,PRP-00006175,Transition,USA List Prices 
